Date,Close
3/13/2000,65.3125
3/14/2000,65.625
3/15/2000,63.75
3/16/2000,66.25
3/17/2000,64.8125
3/20/2000,64.1875
3/21/2000,72.375
3/22/2000,70.6875
3/23/2000,67.6875
3/24/2000,72.6875
3/27/2000,73.125
3/28/2000,70.125
3/29/2000,66.25
3/30/2000,66.5
3/31/2000,67
4/3/2000,63.5625
4/4/2000,63.9375
4/5/2000,62.1875
4/6/2000,64.25
4/7/2000,67.5625
4/10/2000,63.375
4/11/2000,63.375
4/12/2000,56.375
4/13/2000,48
4/14/2000,46.875
4/17/2000,47.0625
4/18/2000,54.9375
4/19/2000,53.4375
4/20/2000,52.375
4/24/2000,49.8125
4/25/2000,52.4375
4/26/2000,53.5
4/27/2000,52.875
4/28/2000,55.1875
5/1/2000,59.9375
5/2/2000,56.125
5/3/2000,54.125
5/4/2000,55.0625
5/5/2000,58.5
5/8/2000,56.015598
5/9/2000,56.25
5/10/2000,53.3125
5/11/2000,54.875
5/12/2000,53.75
5/15/2000,56.0625
5/16/2000,59.0625
5/17/2000,61
5/18/2000,55.375
5/19/2000,52.625
5/22/2000,51.875
5/23/2000,46.6875
5/24/2000,48.5625
5/25/2000,45.5
5/26/2000,46.5
5/30/2000,51.75
5/31/2000,48.3125
6/1/2000,50.1875
6/2/2000,57.875
6/5/2000,54.5
6/6/2000,50.5625
6/7/2000,51.8125
6/8/2000,51.875
6/9/2000,52.1875
6/12/2000,48.4375
6/13/2000,49
6/14/2000,46.4375
6/15/2000,46.3125
6/16/2000,46
6/19/2000,45.3125
6/20/2000,46.125
6/21/2000,46.0625
6/22/2000,42
6/23/2000,33.875
6/26/2000,33.9375
6/27/2000,36.5
6/28/2000,37.875
6/29/2000,37.125
6/30/2000,36.3125
7/3/2000,37
7/5/2000,36.5
7/6/2000,36.0625
7/7/2000,36.125
7/10/2000,35.0625
7/11/2000,33.125
7/12/2000,35.0625
7/13/2000,35
7/14/2000,42.625
7/17/2000,41.125
7/18/2000,41.75
7/19/2000,40.875
7/20/2000,40.3125
7/21/2000,41.125
7/24/2000,38.75
7/25/2000,37.625
7/26/2000,36.0625
7/27/2000,31.375
7/28/2000,30
7/31/2000,30.125
8/1/2000,30.25
8/2/2000,30.8125
8/3/2000,31.5
8/4/2000,32.5
8/7/2000,33.8125
8/8/2000,32.9375
8/9/2000,30.875
8/10/2000,30.4375
8/11/2000,33.6875
8/14/2000,34.875
8/15/2000,37.5625
8/16/2000,38.625
8/17/2000,38.25
8/18/2000,39
8/21/2000,37.5
8/22/2000,36.5
8/23/2000,38.8125
8/24/2000,39.375
8/25/2000,39.9375
8/28/2000,39.125
8/29/2000,39.625
8/30/2000,42.9375
8/31/2000,41.5
9/1/2000,41.5
9/5/2000,45.6875
9/6/2000,45.875
9/7/2000,43.5
9/8/2000,42.9375
9/11/2000,42.375
9/12/2000,42.6875
9/13/2000,42.4375
9/14/2000,44.875
9/15/2000,43.625
9/18/2000,42.8125
9/19/2000,40.75
9/20/2000,37.5
9/21/2000,40.0625
9/22/2000,41.4375
9/25/2000,40.375
9/26/2000,39.75
9/27/2000,37.875
9/28/2000,40
9/29/2000,38.4375
10/2/2000,35.875
10/3/2000,35.0625
10/4/2000,36
10/5/2000,33.5625
10/6/2000,31.5625
10/9/2000,30.0625
10/10/2000,30.4375
10/11/2000,27.8125
10/12/2000,25.125
10/13/2000,28.4375
10/16/2000,24.3125
10/17/2000,21.9375
10/18/2000,25.125
10/19/2000,27.75
10/20/2000,30.8125
10/23/2000,30
10/24/2000,29.5625
10/25/2000,31.875
10/26/2000,36.875
10/27/2000,35.625
10/30/2000,32.875
10/31/2000,36.625
11/1/2000,37.375
11/2/2000,39.75
11/3/2000,37.5625
11/6/2000,36.5625
11/7/2000,36.9375
11/8/2000,33.875
11/9/2000,31.25
11/10/2000,30.0625
11/13/2000,27.8125
11/14/2000,28.9375
11/15/2000,29.5
11/16/2000,27.8125
11/17/2000,27.4375
11/20/2000,25.8125
11/21/2000,24.25
11/22/2000,25.1875
11/24/2000,28.9375
11/27/2000,28
11/28/2000,25.0312
11/29/2000,26.9375
11/30/2000,24.6875
12/1/2000,24.625
12/4/2000,26.5625
12/5/2000,25.375
12/6/2000,23.625
12/7/2000,21.375
12/8/2000,23.4375
12/11/2000,25.3125
12/12/2000,25.875
12/13/2000,23.75
12/14/2000,22.6875
12/15/2000,22.875
12/18/2000,19.875
12/19/2000,18.25
12/20/2000,16.6875
12/21/2000,15.1875
12/22/2000,15.5625
12/26/2000,16.9375
12/27/2000,16.875
12/28/2000,17.375
12/29/2000,15.5625
1/2/2001,13.875
1/3/2001,17.5625
1/4/2001,15.5
1/5/2001,14.5625
1/8/2001,14.9375
1/9/2001,16.375
1/10/2001,16.5
1/11/2001,17
1/12/2001,17.6875
1/16/2001,18.0625
1/17/2001,18.375
1/18/2001,19.5
1/19/2001,19.9375
1/22/2001,18.5
1/23/2001,18.9531
1/24/2001,21.875
1/25/2001,19
1/26/2001,19.5
1/29/2001,20.125
1/30/2001,18.9375
1/31/2001,17.3125
2/1/2001,16.25
2/2/2001,14.375
2/5/2001,14.4375
2/6/2001,15.8125
2/7/2001,15
2/8/2001,14.375
2/9/2001,13.375
2/12/2001,14.5
2/13/2001,13.75
2/14/2001,14.4375
2/15/2001,14.5
2/16/2001,13.6875
2/20/2001,12.5
2/21/2001,11.9375
2/22/2001,11.9375
2/23/2001,11.8125
2/26/2001,11.9375
2/27/2001,11.75
2/28/2001,10.1875
3/1/2001,10.4375
3/2/2001,10
3/5/2001,12.625
3/6/2001,11.875
3/7/2001,12.25
3/8/2001,11.6875
3/9/2001,12.25
3/12/2001,10.625
3/13/2001,11
3/14/2001,10.625
3/15/2001,10.875
3/16/2001,11
3/19/2001,10.5
3/20/2001,10.25
3/21/2001,10
3/22/2001,10.1875
3/23/2001,10.1875
3/26/2001,10.94
3/27/2001,11.64
3/28/2001,10.8
3/29/2001,10
3/30/2001,10.23
4/2/2001,9.1
4/3/2001,8.63
4/4/2001,8.4
4/5/2001,9.12
4/6/2001,8.37
4/9/2001,11.18
4/10/2001,12.01
4/11/2001,13.32
4/12/2001,14.67
4/16/2001,14.03
4/17/2001,14.74
4/18/2001,16.540001
4/19/2001,15.99
4/20/2001,15.78
4/23/2001,16.200001
4/24/2001,15.68
4/25/2001,16.09
4/26/2001,15.43
4/27/2001,15.27
4/30/2001,15.78
5/1/2001,16.889999
5/2/2001,17.110001
5/3/2001,16.75
5/4/2001,17.559999
5/7/2001,16.92
5/8/2001,16.18
5/9/2001,15.01
5/10/2001,14.62
5/11/2001,14.68
5/14/2001,13.33
5/15/2001,13.54
5/16/2001,14.13
5/17/2001,14.78
5/18/2001,14.72
5/21/2001,16.379999
5/22/2001,16.25
5/23/2001,15.6
5/24/2001,16.75
5/25/2001,17.09
5/29/2001,17.219999
5/30/2001,15.66
5/31/2001,16.690001
6/1/2001,16.950001
6/4/2001,16.91
6/5/2001,16.440001
6/6/2001,15.99
6/7/2001,16.129999
6/8/2001,15.7
6/11/2001,14.86
6/12/2001,14.64
6/13/2001,14.12
6/14/2001,13.29
6/15/2001,12.49
6/18/2001,11.83
6/19/2001,11.36
6/20/2001,12.53
6/21/2001,13.08
6/22/2001,12.4
6/25/2001,12.81
6/26/2001,13.25
6/27/2001,14.04
6/28/2001,14.36
6/29/2001,14.15
7/2/2001,14.53
7/3/2001,14.13
7/5/2001,15.27
7/6/2001,15.27
7/9/2001,15.81
7/10/2001,15.61
7/11/2001,15.34
