Date,Open,High,Low,Close,Height,Volume,gap,gap_center
2016-02-06,30.969999,31.379999,26.049999,29.440001,29.440001,3594267,29.440001,29.440001
2016-02-13,29.08,31.98,28.700001,29.639999,29.639999,1559294,29.639999,29.639999
2016-02-20,29.719999,34.689999,29.48,32.779999,32.779999,2970808,32.779999,32.779999
2016-02-27,32.720001,36.34,32.32,35.919998,35.919998,2767780,35.919998,35.919998
2016-03-05,36.200001,39.02,36.09,38.5,38.5,3423661,38.5,38.5
2016-03-12,38.169998,41.200001,35.959999,39.439999,39.439999,1858376,39.439999,39.439999
2016-03-19,39.060001,41.900002,38.330002,39.459999,39.459999,1930201,39.459999,39.459999
2016-03-26,39.549999,40.139999,36.630001,36.790001,36.790001,2409618,36.790001,36.790001
2016-04-02,36.610001,39.84,35.24000200000001,39.720001,39.720001,3230047,39.720001,39.720001
2016-04-09,39.720001,42.419998,39.25,40.360001,40.360001,3215385,40.360001,40.360001
2016-04-16,38.75,44.490002,37.610001,43.73,43.73,2486647,43.73,43.73
2016-04-23,43.75,46.779999,42.5,45.919998,45.919998,2904654,45.919998,45.919998
2016-04-30,45.900002,46.150002,43.220001,44.66,44.66,3242168,44.66,44.66
2016-05-07,45.0,47.02,43.029999,46.209999,46.209999,3581405,46.209999,46.209999
2016-05-14,46.279999,48.950001,46.150002,47.75,47.75,2011350,47.75,47.75
2016-05-21,48.459999,50.209999,47.400002,49.330002,49.330002,2396770,49.330002,49.330002
2016-05-28,49.540001,50.099998,47.75,48.619999,48.619999,2091707,48.619999,48.619999
2016-06-04,48.880001,51.669998,48.709999,49.07,49.07,2805984,49.07,49.07
2016-06-11,48.849998,49.279999,45.830002,47.98,47.98,2224613,47.98,47.98
2016-06-18,48.290001,50.540001,46.700001,47.639999,47.639999,2194970,47.639999,47.639999
2016-06-25,47.810001,50.0,45.830002,48.990002,48.990002,2428863,48.990002,48.990002
2016-07-02,49.110001,49.349998,44.77,45.41,45.41,2510828,45.41,45.41
2016-07-09,45.07,46.93,44.419998,45.950001,45.950001,2882176,45.950001,45.950001
2016-07-16,46.119999,46.139999,43.689999,44.189999,44.189999,1741913,44.189999,44.189999
2016-07-23,44.200001,44.369999,40.57,41.599998,41.599998,2315227,41.599998,41.599998
2016-07-30,41.349998,42.099998,39.189999,41.799999,41.799999,2871743,41.799999,41.799999
2016-08-06,41.990002,44.779999,41.099998,44.490002,44.490002,3081697,44.490002,44.490002
2016-08-13,44.740002,48.75,44.380001,48.52,48.52,2028035,48.52,48.52
2016-08-20,48.400002,48.459999,46.419998,47.639999,47.639999,2759815,47.639999,47.639999
