74.44_24.72,77.64_26.72,76.84_26.72,76.04_26.72,75.24_26.72,77.64_28.72,76.84_28.72,76.04_28.72,76.84_30.72,76.84_32.72,dates
-0.8894653916358948,-0.8987693190574646,-0.9079793691635132,-0.8986098766326904,-0.9141698479652404,-0.8997814655303955,-0.9164716601371764,-0.9096347093582152,-0.8877952098846436,-0.9000017642974854,2002-03-27
-0.8784564733505249,-0.8873280882835388,-0.8933542966842651,-0.8825142979621887,-0.8969494104385376,-0.8888893723487854,-0.8978598713874817,-0.8927848339080809,-0.8643556833267212,-0.8791566491127014,2002-03-28
-0.8721209764480591,-0.8804786205291748,-0.8912658095359802,-0.8707996606826782,-0.8826894760131836,-0.8834176659584045,-0.8779270052909851,-0.8758952617645264,-0.8361313343048096,-0.8571026921272278,2002-03-29
-0.8582257628440857,-0.8911241888999939,-0.8977543115615845,-0.8690352439880371,-0.8719248771667479,-0.8956284523010254,-0.8868623375892639,-0.8678383231163025,-0.8245350122451782,-0.8443413972854614,2002-03-30
-0.8536154627799988,-0.8974340558052063,-0.9121680259704591,-0.8696728348731995,-0.8698338866233826,-0.902999222278595,-0.8938579559326172,-0.8744637966156006,-0.8163735866546631,-0.8305800557136536,2002-03-31
-0.85708087682724,-0.9074273109436036,-0.9237515926361084,-0.8803892135620117,-0.880588948726654,-0.9134501218795776,-0.9049994945526124,-0.8870951533317566,-0.8268507719039917,-0.8414270877838135,2002-04-01
-0.8566979765892029,-0.9202558398246764,-0.9418930411338806,-0.9006075263023376,-0.8951218128204346,-0.9246160984039308,-0.9220101237297058,-0.89483642578125,-0.8468533158302307,-0.8580767512321472,2002-04-02
-0.86540287733078,-0.9345621466636658,-0.9515612721443176,-0.9204633235931396,-0.9171201586723328,-0.9369283318519592,-0.9353607296943665,-0.9164503812789916,-0.8738641738891602,-0.8841315507888794,2002-04-03
-0.8660787343978882,-0.9430116415023804,-0.952082097530365,-0.9101508855819702,-0.9142571091651917,-0.9422761797904968,-0.93887460231781,-0.914076030254364,-0.8831176161766052,-0.8881664276123047,2002-04-04
-0.8771037459373474,-0.955245852470398,-0.9643647074699402,-0.9379377365112304,-0.9297924637794496,-0.9566310048103333,-0.9585830569267272,-0.9385241270065308,-0.9023584723472596,-0.9064433574676514,2002-04-05
-0.8906352519989014,-0.9511691331863404,-0.9503857493400574,-0.927127718925476,-0.9380672574043274,-0.948444128036499,-0.9477248787879944,-0.9318912625312804,-0.9048104882240297,-0.9161714315414428,2002-04-06
-0.8917738795280457,-0.949982225894928,-0.9674195051193236,-0.9534936547279358,-0.9426817297935486,-0.9515396356582642,-0.9623874425888062,-0.9475205540657043,-0.9204477667808532,-0.9286265969276428,2002-04-07
-0.9048001766204834,-0.9519546627998352,-0.9306648969650269,-0.9255967140197754,-0.9527676701545716,-0.9602656960487366,-0.9489330053329468,-0.9403448104858398,-0.9197179675102234,-0.929370641708374,2002-04-08
-0.91146582365036,-0.931512415409088,-0.927026867866516,-0.93474018573761,-0.9460179209709167,-0.9282268285751344,-0.9440225958824158,-0.9468483328819276,-0.9185438752174376,-0.9365727305412292,2002-04-09
-0.916492760181427,-0.9248555302619934,-0.9449746608734132,-0.9396958947181702,-0.9456289410591124,-0.91731059551239,-0.9446433782577516,-0.9261452555656432,-0.9129591584205629,-0.92764550447464,2002-04-10
