date,85_15,65_40,65_60,94_60,35_60,50_40,80_70,95_53,110_70,65_50,40_50
2006-06-23,0.8361,0.2573,0.10739999,0.2173,0.050499994,0.0202,0.70369995,0.43239996,0.6118,0.21409999,0.0164
2006-06-24,0.8443,0.0218,0.09679999,0.21539998,0.0325,0.0061999997,0.56,0.4057,0.5977,0.1926,0.0
2006-06-25,0.7218999,0.0014,0.0525,0.015299999,0.049,0.083,0.48599997,0.31969997,0.60489994,0.12619999,0.0
2006-06-26,0.66139996,0.0,0.056799997,0.044899996,0.052399997,0.0641,0.3812,0.3213,0.518,0.145,0.0064999997
2006-06-27,0.57809997,0.0007,0.049799997,0.091199994,0.041399997,0.22629999,0.3726,0.3241,0.54109997,0.1338,0.0
2006-06-28,0.61869997,0.0037,0.0929,0.0297,0.0477,0.0909,0.33459997,0.3076,0.5237,0.16729999,0.0004
2006-06-29,0.44779998,0.0,0.066099994,0.029099997,0.0871,0.0951,0.3423,0.29019997,0.48369998,0.1021,0.0411
2006-06-30,0.47399998,0.046199996,0.047199998,0.052999996,0.050099995,0.23269998,0.3417,0.2949,0.44489998,0.0851,0.0037999998
2006-07-01,0.52529997,0.0008,0.058799993,0.0385,0.0587,0.086399995,0.36189997,0.2519,0.43559995,0.0942,1e-04
2006-07-02,0.41959998,0.0008999999,0.0349,0.0321,0.0632,0.2505,0.3779,0.2697,0.41509998,0.074099995,0.0175
2006-07-03,0.3829,0.0,0.044899996,0.056799997,0.0479,0.077199996,0.42529997,0.2643,0.3811,0.0847,0.0163
2006-07-04,0.49019998,0.0663,0.067099996,0.0387,0.045199998,0.22889999,0.4396,0.309,0.32889998,0.114199996,0.030899998
2006-07-05,0.33119997,0.0017999999,0.069,0.0,0.067999996,0.2995,0.4098,0.21029998,0.36549997,0.107099995,0.0354
2006-07-06,0.3091,0.0,0.055899996,0.0009999999,0.053599995,0.249,0.39769998,0.26,0.21549998,0.0645,0.013299999
2006-07-07,0.48629996,0.0,0.051799998,0.0021,0.061199997,0.2268,0.32619998,0.2942,0.1835,0.049099997,0.014399999
